HourUTC,SpotPriceEUR,FCRNPriceEUR
2023-01-01 00:00,1.38,200.0
2023-01-01 01:00,0.09,200.0
2023-01-01 02:00,0.08,200.0
2023-01-01 03:00,0.05,200.0
2023-01-01 04:00,0.08,200.0
2023-01-01 05:00,0.09,200.0
2023-01-01 06:00,0.53,12.24
2023-01-01 07:00,2.03,5.0
2023-01-01 08:00,3.1,5.0
2023-01-01 09:00,4.43,5.0
2023-01-01 10:00,6.06,5.0
2023-01-01 11:00,6.06,7.11
2023-01-01 12:00,5.68,5.0
2023-01-01 13:00,17.709999,5.0
2023-01-01 14:00,24.110001,6.0
2023-01-01 15:00,36.540001,5.0
2023-01-01 16:00,46.029999,22.76
2023-01-01 17:00,55.57,22.76
2023-01-01 18:00,54.950001,22.4
2023-01-01 19:00,49.23,75.0
2023-01-01 20:00,44.990002,2.79
2023-01-01 21:00,45.959999,9.53
2023-01-01 22:00,35.0,11.0
2023-01-01 23:00,57.91,12.24
2023-01-02 00:00,51.669998,11.0
2023-01-02 01:00,52.860001,9.53
2023-01-02 02:00,44.16,15.0
2023-01-02 03:00,50.080002,15.0
2023-01-02 04:00,70.730003,15.0
2023-01-02 05:00,104.080002,5.0
2023-01-02 06:00,140.639999,7.09
2023-01-02 07:00,145.979996,9.0
2023-01-02 08:00,147.050003,12.0
2023-01-02 09:00,145.610001,11.53
2023-01-02 10:00,143.350006,9.5
2023-01-02 11:00,144.380005,9.53
2023-01-02 12:00,143.759995,11.0
2023-01-02 13:00,148.199997,11.53
2023-01-02 14:00,155.339996,11.0
2023-01-02 15:00,162.889999,6.9
2023-01-02 16:00,170.0,6.48
2023-01-02 17:00,174.740005,7.11
2023-01-02 18:00,164.460007,9.0
2023-01-02 19:00,153.0,11.53
2023-01-02 20:00,141.669998,9.53
2023-01-02 21:00,131.669998,5.6
2023-01-02 22:00,118.059998,14.0
2023-01-02 23:00,78.809998,16.0
2023-01-03 00:00,73.93,15.0
2023-01-03 01:00,73.940002,15.0
2023-01-03 02:00,71.440002,15.0
2023-01-03 03:00,72.330002,15.0
2023-01-03 04:00,77.139999,16.0
2023-01-03 05:00,102.480003,9.0
2023-01-03 06:00,154.960007,5.6
2023-01-03 07:00,163.919998,5.6
2023-01-03 08:00,167.070007,5.6
2023-01-03 09:00,168.570007,5.6
2023-01-03 10:00,169.490005,5.6
2023-01-03 11:00,164.5,6.02
2023-01-03 12:00,160.910004,5.6
2023-01-03 13:00,163.059998,5.6
2023-01-03 14:00,167.729996,5.6
2023-01-03 15:00,166.610001,5.6
2023-01-03 16:00,170.720001,5.6
2023-01-03 17:00,168.929993,5.6
2023-01-03 18:00,160.990005,5.6
2023-01-03 19:00,149.619995,5.6
2023-01-03 20:00,131.050003,5.6
2023-01-03 21:00,114.269997,12.0
2023-01-03 22:00,93.660004,12.0
2023-01-03 23:00,82.879997,16.0
2023-01-04 00:00,78.839996,15.0
2023-01-04 01:00,69.93,9.5
2023-01-04 02:00,69.260002,15.0
2023-01-04 03:00,71.75,15.0
2023-01-04 04:00,81.730003,15.5
2023-01-04 05:00,80.110001,9.0
2023-01-04 06:00,83.330002,5.6
2023-01-04 07:00,86.269997,5.6
2023-01-04 08:00,85.370003,15.0
2023-01-04 09:00,75.949997,16.0
2023-01-04 10:00,81.709999,15.53
2023-01-04 11:00,80.889999,15.0
2023-01-04 12:00,79.720001,15.0
2023-01-04 13:00,80.220001,5.6
2023-01-04 14:00,79.739998,5.49
2023-01-04 15:00,80.82,5.0
2023-01-04 16:00,86.160004,5.0
2023-01-04 17:00,72.279999,5.6
2023-01-04 18:00,66.610001,5.0
2023-01-04 19:00,62.130001,9.5
2023-01-04 20:00,57.259998,15.0
2023-01-04 21:00,37.939999,15.53
2023-01-04 22:00,30.82,15.0
2023-01-04 23:00,30.030001,15.53
