,pBt_A,et_A,pBt_C,et_C,qBt_A,Qt_A,pGrid,qGrid,q2p,pBt_RC
0,-1904.85,1411.0,0.0,1202.5,0.0,2100.0,-1399.0392746910923,-39.166109999999996,39.166109999999996,14.883121799999998
1,0.0,1411.0,0.0,1202.5,0.0,2100.0,731.1522882992681,-38.99592999999998,38.99592999999998,14.818453399999992
2,0.0,1411.0,0.0,1202.5,0.0,2100.0,811.3637718235435,-38.754679999999986,38.754679999999986,14.726778399999995
3,0.0,1411.0,0.0,1202.5,0.0,2100.0,725.0651007992681,-38.63939,38.63939,14.6829682
4,0.0,1411.0,0.0,1202.5,0.0,2100.0,646.1390843235434,-38.580009999999994,38.580009999999994,14.660403799999997
5,0.0,1411.0,0.0,1202.5,0.0,2100.0,485.7461616902452,-12.168324793388422,12.168324793388422,4.6239634214876
6,0.0,1411.0,0.0,1202.5,0.0,2100.0,487.6569441734742,483.1472451617649,0.0,0.0
7,0.0,1411.0,0.0,1202.5,0.0,2100.0,514.6485326086089,883.4432374482659,0.0,0.0
8,0.0,1411.0,0.0,1202.5,0.0,2100.0,272.86466599036925,726.3255094375493,0.0,0.0
9,0.0,1411.0,0.0,1202.5,0.0,2100.0,-477.4912611127328,665.1578014998452,0.0,0.0
10,0.0,1411.0,0.0,1202.5,0.0,2100.0,-1103.9603023150148,463.8485042582212,0.0,0.0
11,0.0,1411.0,0.0,1202.5,0.0,2100.0,-725.2450876514054,428.35539506459907,0.0,0.0
12,0.0,1411.0,0.0,1202.5,0.0,2100.0,-860.6871509454932,390.5535500778859,0.0,0.0
13,0.0,1411.0,0.0,1202.5,0.0,2100.0,-423.8448318208292,417.2453906850435,0.0,0.0
14,0.0,1411.0,0.0,1202.5,0.0,2100.0,-910.6803196326782,348.48797015675274,0.0,0.0
15,4703.333333333333,5644.0,0.0,1202.5,0.0,2100.0,3773.073331212532,467.30377553644405,0.0,0.0
16,0.0,5644.0,0.0,1202.5,0.0,2100.0,-999.7031783269913,504.16690030808235,0.0,0.0
17,0.0,5644.0,0.0,1202.5,0.0,2100.0,-114.51877415535125,584.0967652561426,0.0,0.0
18,0.0,5644.0,0.0,1202.5,0.0,2100.0,337.516756244706,372.23569082644667,0.0,0.0
19,0.0,5644.0,0.0,1202.5,0.0,2100.0,465.60002859207754,498.08902415978,0.0,0.0
20,-1904.85,3527.5,0.0,1202.5,0.0,2100.0,-1392.1079702527504,388.60400187327826,0.0,0.0
21,0.0,3527.5,0.0,1202.5,0.0,2100.0,508.746044235439,194.3156752066116,0.0,0.0
22,0.0,3527.5,0.0,1202.5,0.0,2100.0,510.5491936157592,49.94369853994493,0.0,0.0
23,0.0,3527.5,0.0,1202.5,0.0,2100.0,500.7014805998984,-69.85836906336093,69.85836906336093,26.546180244077153
