,pBt_A,et_A,pBt_C,et_C,qBt_A,Qt_A,pGrid,qGrid,q2p,pBt_RC,,
0,-7055,3527.5,-650,1202.5,0,2100,-7199.189275,-39.16611,39.166109999999996,14.883121799999998,,3527.5
1,-2351.666667,1411,-650,780,0,2100,-2270.514378,-38.99593,38.99592999999998,14.818453399999992,,1411
2,0,1411,-460,481,0,2100,351.3637718235435,-38.75468,38.754679999999986,14.726778399999995,,1411
3,4703.333333333333,5644,650,903.5,0,2100,6078.398434132601,-38.63939,38.63939,14.6829682,,5644
4,0,5644,650,1326,0,2100,1296.1390843235436,-38.58001,38.580009999999994,14.660403799999997,,5644
5,0,5644,0,1326,0,2100,485.7461616902452,-12.16832479,12.168324793388422,4.623963421,,5644
6,0,5644,-650,903.5,0,2100,-162.3430558,483.1472451617649,0,0,,5644
7,-4703.333333,1411,-650,481,0,2100,-4838.684801,883.4432374482659,0,0,,1411
8,0,1411,0,481,0,2100,272.86466599036925,726.3255094375493,0,0,,1411
9,0,1411,0,481,0,2100,-477.4912611,665.1578014998452,0,0,,1411
10,0,1411,0,481,0,2100,-1103.960302,463.8485042582212,0,0,,1411
11,0,1411,0,481,0,2100,-725.2450877,428.35539506459907,0,0,,1411
12,0,1411,650,903.5,0,2100,-210.6871509,390.5535500778859,0,0,,1411
13,0,1411,270,1079,0,2100,-153.8448318,417.2453906850435,0,0,,1411
14,0,1411,650,1501.5,0,2100,-260.6803196,348.48797015675274,0,0,,1411
15,4703.333333333333,5644,650,1924,0,2100,4423.073331212532,467.30377553644405,0,0,,5644
16,0,5644,0,1924,0,2100,-999.7031783,504.16690030808235,0,0,,5644
17,0,5644,0,1924,0,2100,-114.5187742,584.0967652561426,0,0,,5644
18,0,5644,0,1924,0,2100,337.5167562,372.23569082644667,0,0,,5644
19,0,5644,-650,1501.5,0,2100,-184.3999714,498.0890242,0,0,,5644
20,-4703.333333,1411,-650,1079,0,2100,-4840.591304,388.60400187327826,0,0,,1411
21,0,1411,-650,656.5,0,2100,-141.2539558,194.3156752066116,0,0,,1411
22,0,1411,190,780,0,2100,700.5491936157591,49.94369853994493,0,0,,1411
23,2351.6666666666665,3527.5,650,1202.5,0,2100,3502.368147266565,-69.85836906,69.85836906336093,26.546180244077153,,3527.5
